"artist","artist_id"
"Bert Buhrman",533
"Gianni Monese Et Son Orchestre*",534
"International Folk Music Council",535
"Charlie Byrd",536
"Fats Navarro",537
"Shelly Manne",538
"Brahms*",539
"Strauss*",540
"Joseph Schuster",541
"Goldmark*",542
"Bronislaw Gimpel",543
"Southwest German Radio Orchestra (Baden-Baden)*",544
"The Prestige All Stars",545
"Mal Waldron Quintet",546
"Gigi Gryce And Idrees Sulieman",547
"Paul Quinichette",548
"The Yusef Lateef Quintet",549
"The Little Orchestra Society",550
"Thomas Scherman",551
"Yusef Lateef",552
"Dorothy Ashby",553
"Sabu*",554
"The George Wallington Quintet*",555
"Billy Holiday*",556
"The Horace Silver Quintet",557
"John Jenkins (2)",558
"Squire Mason",559
"His Orchestra",560
"Joe Carroll",561
"Curly Russell",562
"Ray Copeland",563
"Herbie Mann",564
"Los Indios Taba-Jaras*",565
"Sahib Shihab ",566
"And Bill Hardman",567
"Eydie Gormé",568
"Hal McKusick",569
"Don Bagley",570
"Gene Quill",571
"Dexter Gordon",572
"Barney Kessel",573
"Sonny Criss",574
"Hampton Hawes",575
"Harry Babison*",576
"Ernie Royal",577
"Charlie Shavers",578
"Emmet Berry*",579
"Harold Baker",580
"Fingers Finnegan",581
"Jackie",582
"Roy",583
"Charlie Ventura's Band",584
"Andre Hodeir*",585
"Joe Roland Et Son Orchestre*",586
"Wild Bill Davison And His Band And Bill Stafford And His Band",587
"Schoenberg*",588
"Symphony Orchestra Of Southwest German Radio*",589
"André Hodeir And The Jazz Group Of Paris*",590
"The Prestige Jazz Quartet",591
"Max Roach",592
"Don Byas",593
"The Octet (2)",594
"Billy Ver Planck And His Orchestra*",595
"Cliff Jordan*",596
"Borodin*",597
"Endres Quartet*",598
"Hall Overton",599
"A.K. Salim",600
"John Gilmore",601
"Donald Byrd And Lee Morgan",602
"Gil Evans",603
"Herbie Mann And Bobby Jaspar",604
"Arthur Godfrey",605
"Red Garland",606
"Mildred Bailey",607
"Johnny Keating*",608
"Mose Allison",609
"Big Maybelle",610
"Adelaide Robbins",611
"Barbara Carroll",612
"Roy Eldridge",613
"Benny Carter",614
"Cecil Payne",615
"Charlie Kennedy",616
"Charlie Ventura",617
"Paul Chambers Sextet",618
"Joe Newman",619
"Freddie Greene*",620
"Ed Thigpen",621
"Gus Johnson",622
"Ronnell Bright",623
"Leonard Gaskin",624
"Tal Farlow",625
"Ray Draper Quintet*",626
"Paul Chambers Quartet",627
"Sahib Shihab",628
"Frank Socolow",629
"The Art Farmer Quintet*",630
"Ernie Wilkins' Orch.*",631
"Paul Smith (5)",632
"Randy Weston",633
"Alfred Brendel",634
"J.R. Monterose",635
"Serge Chaloff",636
"The Modern Jazz Sextett*",637
"Liadov*",638
"Balakirev*",639
"Mary Ann McCall",640
"The Vienna Festival Orchestra*",641
"The Three Sounds",642
"Kenny Dorham Quintet*",643
"The Eddie "Lockjaw" Davis Quintet",644
"Ruff",645
"Reddy (5)",646
"Tommy Edwards",647
"Wess*",648
"Coltrane*",649
"Quinichette*",650
"Willy Ley",651
"Ray Bryant",652
"Antonio Tain Y Los Banderillos",653
"Seldon Powell",654
"The Famous Ward Singers*",655
"Fritz Mareczek And His Orchestra",656
"Shirley Scott Trio",657
"Bill Harris",658
"Pepper Adams",659
"Eddie Costa",660
"George Duvivier",661
"Billy Ver Planck*",662
"Frankie And The Echoes*",663
"Herb Shriner",664
"John A. Davis, Jr.",665
"Jazz In The Classroom",666
"Geo. Wallington*",667
"Julius Watkins",668
"Dave Amram*",669
"Antonio Tain His Trumpet And His Orchestra*",670
"His Orchestra*",671
"The Temptations (5)",672
"Niccolò Paganini",673
"Alexander Glazunov",674
"Joe Turner*",675
"Don Marino Barreto Jr.",676
"Gianni Monese",677
"Heinz Sandauer",678
"Corelli*",679
"Alberto Poltronieri",680
"Tino Bacchetta*",681
"Mario Gusella",682
"E.Giordano-Sartori*",683
"Art Blakey's Jazz Messengers*",684
"Brownie McGhee And Sonny Terry*",685
"Yuri Kasakov*",686
"Mikhail Rozhkov*",687
"Symphony Orchestra Of The Moscow Region*",688
"Veronica Dudarova",689
"State Radio Orchestra Of Folk Instruments*",690
"Victor Smirnov*",691
"Ken Davern And His Salty Dogs",692
"Mendelssohn*",693
"Orazio Frugoni",694
"Annarosa Taddei",695
"Vienna Symphony Orchestra*",696
"Rudolf Moralt",697
"Pro Musica Orchestra*",698
"Franz Liszt",699
"Chorus* And Symphony Orchestra Of The Southwest German Radio",700
"Baden-Baden*",701
"The Ray Draper Quintet",702
"Glinka*",703
"Bamberger Symphoniker",704
"The Jazz Messengers",705
"Don Costa's Free Loaders",706
"Gene Ammons' All Stars",707
"Coleman Hawkins",708
"Pete Johnson",709
"Vivaldi*",710
"Gaspar Cassadó",711
"Ingrid Haebler",712
"Vienna Symphony Orchestra* Conductor Karl Melles*",713
"Billy Hope And The Badmen",714
"Eddie "Lockjaw" Davis",715
"Shirley Scott And Jerome Richardson",716
"The Roberta Martin Singers*",717
""Little Anthony" Guardine And The Duponts*",718
"Wilbur Harden",719
"Tommy Flanagan",720
"Louis Hayes",721
"Steve Lacy",722
"Chorus Of The Black Sea Cossacks*",723
"The Hightower Brothers",724
"Dizzy Reece",725
"Tiny Grimes",726
"J.C. Higginbotham",727
"Cannonball Adderley",728
"Sonny Clark Trio",729
"Raymond Lewenthal",730
"The Red Garland Quintet",731
"Tommy Flanagan Trio",732
"Mahler*",733
"Hans Rosbaud",734
"Rakov*",735
"Igor Oistrakh*",736
"Louis Smith (2)",737
"Annie Ross",738
"Paul Chambers Quintet",739
"Buck Clayton",740
"Shad Collins",741
"Jack Washington",742
"Jo Jones",743
"Nat Pierce",744
"The Lon Norman Sextet",745
"Alberto Caroldi",746
"Gli Accademici Di Milano",747
"Piero Santi",748
"Eddie Davis*",749
"Dorothy Ashby And Frank Wess",750
"The Prestige Blues-Swingers",751
"Bobby Donaldson's 7th Avenue Stompers",752
"Wolfgang Marschner",753
"Antonio Vivaldi",754
"Virginio Bianchi",755
"The Famous Davis Sisters*",756
"Charlie Rouse",757
"George Duning",758
"Sonny Redd*",759
"George Tucker",760
"New York Percussion Trio",761
"Al Smith (8)",762
"Coleman Hawkins Quintet",763
"Antonio Tain Y Su Orquestra",764
"Shirley Scott",765
"Ellegaard*",766
"Handel:* Narrator Arthur Haynes",767
"Wolfgang Amadeus Mozart",768
"The Main Street Concert Band",769
"Hal Singer Quintet",770
"Rosa Rio "The Fair Lady Of The Organ"*",771
"Felix Mendelssohn*",772
"Joey Emma",773
"Hans Swarowsky Conducting Vienna State Opera Orchestra*",774
"Telemann Society Orchestra",775
"Grieg*",776
"Edouard Van Remoortel",777
"Tchaikovsky*",778
"Vienna Festival Orchestra* ",779
"Conducted By Victor Desarzens",780
"Stravinsky*",781
"Berg*",782
"Ivry Gitlis",783
"Clara Ward And The Famous Ward Singers*",784
"Yusef Lateef And His Jazz Quintet*",785
"Walter Davis Jr.",786
"Benny Golson Quintet",787
"Johannes Brahms",788
"Eduard Strauss And His Orchestra",789
"Artur Rodzinski",790
"Johann Sebastian Bach",791
"Bobby Webb",792
"Orchestra Of The Wiener Volksoper* Conductor Paul Angerer",793
"Musikkorps Des Wachbataillons*",794
"Major Deisenroth*",795
"Berlioz*",796
"Rachmaninoff*",797
"Felicja Blumental",798
"Vienna State Opera Orchestra*",799
"Curtis Fuller's Quintet",800
"Sonny King (2)",801
