"source","target","year","title","type"
"Fritz Lehmann", "Dietrich Fischer-Dieskau","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Elfride Trötschel","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Diana Eutrati*","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Friedrich Haertel","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Helmut Krebs","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Fritz Lehmann", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Dietrich Fischer-Dieskau","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Elfride Trötschel","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Diana Eutrati*","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Friedrich Haertel","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Helmut Krebs","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Bach*", "Chorus Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Elfride Trötschel","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Diana Eutrati*","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Friedrich Haertel","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Helmut Krebs","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Boys Choir Of St. Hedwig's Cathedral*","1949", "St. Matthew Passion (Unabridged)","master"
"Dietrich Fischer-Dieskau", "Orchestra Of The Berlin Radio*","1949", "St. Matthew Passion (Unabridged)","master"
